No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"314","XP","XP Inc.","9.01B","17.36","-0.29%","3.23B"
"315","ARWR","Arrowhead Pharmaceuticals, Inc.","8.97B","65.29","-1.45%","829.45M"
"316","IESC","IES Holdings, Inc.","8.97B","450.00","4.00%","3.37B"
"317","BZ","Kanzhun Limited","8.96B","19.21","0.05%","1.13B"
"318","AXSM","Axsome Therapeutics, Inc.","8.95B","177.59","1.98%","561.26M"
"319","PRAX","Praxis Precision Medicines, Inc.","8.91B","321.35","7.93%","7.46M"
"320","ZION","Zions Bancorporation, National Association","8.88B","60.13","1.04%","3.21B"
"321","MORN","Morningstar, Inc.","8.87B","215.77","0.06%","2.40B"
"322","PEGA","Pegasystems Inc.","8.79B","51.80","-2.26%","1.73B"
"323","HLNE","Hamilton Lane Incorporated","8.75B","154.84","0.65%","733.07M"
"324","GGAL","Grupo Financiero Galicia S.A.","8.73B","51.67","0.98%","3.63B"
"325","COLB","Columbia Banking System, Inc.","8.72B","29.15","-0.34%","1.92B"
"326","SWKS","Skyworks Solutions, Inc.","8.71B","58.60","0.24%","4.09B"
"327","MBLY","Mobileye Global Inc.","8.61B","10.58","-4.51%","1.94B"
"328","BPOP","Popular, Inc.","8.58B","128.61","-0.18%","2.88B"
"329","LKQ","LKQ Corporation","8.54B","33.38","-1.62%","14.10B"
"330","TTAN","ServiceTitan, Inc.","8.52B","90.93","0.91%","916.26M"
"331","RGTI","Rigetti Computing, Inc.","8.51B","25.78","4.37%","7.49M"
"332","HALO","Halozyme Therapeutics, Inc.","8.40B","71.47","-0.49%","1.24B"
"333","KRYS","Krystal Biotech, Inc.","8.33B","287.37","1.90%","373.16M"
"334","NUVL","Nuvalent, Inc.","8.24B","106.17","0.01%","-"
"335","BTSG","BrightSpring Health Services, Inc.","8.12B","39.30","-0.76%","13.30B"
"336","CBSH","Commerce Bancshares, Inc.","8.11B","54.49","-0.14%","1.68B"
"337","GDS","GDS Holdings Limited","8.11B","40.45","-6.80%","1.57B"
"338","VFS","VinFast Auto Ltd.","8.09B","3.460","-0.57%","2.55B"
"339","BOKF","BOK Financial Corporation","8.08B","127.81","0.09%","2.11B"
"340","IDCC","InterDigital, Inc.","7.95B","308.74","-0.54%","928.59M"
"341","APPF","AppFolio, Inc.","7.85B","218.63","-0.47%","906.29M"
